customer_id,mean_purchase_cycle,median_purchase_cycle
2737,116.0,116.5
2738,35.0,35.0
2740,83.0,83.0
2744,132.0,132.5
2747,692.0,692.5
2749,18.0,18.0
2751,8.0,8.0
2753,551.0,551.0
2757,65.0,65.0
2760,148.0,148.0
2761,14.0,14.0
2763,42.0,42.0
2764,2.0,2.0
2765,59.0,50.0
2768,121.0,121.0
2770,4.0,4.0
2773,410.0,410.0
2775,201.0,201.0
2778,37.0,37.0
2780,69.0,69.0
2783,56.0,56.0
2784,138.0,138.0
2785,78.0,78.0
2786,29.0,29.0
2787,111.0,103.0
2790,86.0,86.0
2791,90.0,90.0
2794,269.0,269.0
2795,210.0,210.0
2796,31.0,31.0
2797,18.0,18.0
2799,28.0,26.0
2801,405.0,405.0
2805,163.0,163.0
2811,9.0,9.0
2815,78.0,77.5
2817,658.0,658.0
2820,489.0,367.0
2823,53.0,37.0
2824,73.0,73.0
2828,38.0,37.0
2829,113.0,113.0
2834,83.0,83.0
2837,253.0,253.0
2841,326.0,326.0
2842,29.0,27.0
2844,59.0,59.0
2845,5.0,5.0
2847,112.0,112.0
2848,330.0,330.0
2850,132.0,132.5
2851,371.0,371.0
2853,67.0,67.0
2854,49.0,49.0
2856,34.0,30.0
2858,23.0,21.0
2859,278.0,278.0
2860,15.0,15.0
2862,16.0,16.0
2864,55.0,55.0
2867,116.0,116.0
2869,277.0,277.0
2874,60.0,60.0
2876,12.0,12.0
2878,27.0,26.0
2880,17.0,14.0
2883,152.0,152.0
2886,386.0,386.0
2888,4.0,4.0
2889,679.0,679.0
2895,68.0,68.0
2897,38.0,38.0
2906,209.0,209.0
2909,262.0,210.0
2910,106.0,106.0
2912,12.0,12.0
2918,58.0,54.0
2919,20.0,20.0
2923,30.0,29.5
2924,10.0,10.0
2926,722.0,722.0
2927,98.0,98.0
2936,81.0,81.0
2939,18.0,18.0
2941,76.0,75.5
2942,26.0,26.0
2943,90.0,89.5
2945,8.0,8.0
2946,346.0,346.0
2959,238.0,238.0
2960,15.0,12.0
2962,135.0,135.0
2967,31.0,26.0
2968,124.0,124.0
2970,224.0,276.0
2971,122.0,122.0
2976,316.0,237.0
2978,403.0,403.0
2980,46.0,41.0
2981,246.0,246.0
2982,10.0,10.0
2983,168.0,167.5
2986,87.0,87.0
2987,146.0,146.0
2989,480.0,480.0
2993,239.0,239.0
2996,90.0,77.0
2997,457.0,457.0
2999,82.0,82.0
3000,30.0,30.0
3004,130.0,130.0
3006,56.0,47.0
3007,65.0,65.0
3008,73.0,73.0
3010,60.0,60.0
3011,23.0,23.0
3013,904.0,904.0
3015,136.0,106.0
3020,548.0,548.0
3022,433.0,433.0
3024,164.0,148.0
3025,20.0,19.0
3027,185.0,139.0
3029,61.0,61.0
3033,54.0,54.0
3034,49.0,48.0
3037,13.0,13.0
3040,43.0,43.0
3042,120.0,120.0
3045,5.0,5.0
3048,123.0,123.0
3051,214.0,214.0
3054,528.0,528.0
3057,30.0,30.0
3060,420.0,420.0
3064,84.0,84.0
3066,47.0,46.0
3067,27.0,27.0
3074,269.0,269.0
3075,48.0,45.5
3077,48.0,48.0
3080,25.0,25.0
3088,12.0,12.0
3091,27.0,27.0
3092,366.0,366.0
3093,196.0,196.0
3097,26.0,26.0
3098,20.0,20.0
3100,263.0,263.0
3102,22.0,21.0
3105,56.0,40.0
3106,109.0,109.0
3108,406.0,406.0
3111,41.0,41.0
3112,77.0,63.0
